ATTRIBUTE NAME,DATA CATEGORY,PII CATEGORY,PII SUBCATEGORY,DEFINITION,DERIVATION TYPE,DATA TYPE,SAMPLE VALUES,DATA OWNER,FREQUENCY OF REFRESH,LATENCY,BRAND,CFU,SUBJECT AREA,REDSHIFT TABLE
subscriber_id,Globe ID,Non-PII,Non-PII,Unique subscriber identifier,Direct Pull,varchar(1000),5496688,EDO-UUP,Daily,day-1,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
msisdn_value,Customer PII,Non-PII,Non-PII,Mobile number of the subscriber for wireless while for wireline it is the service ID/landline number,Derived,varchar(1000),9120000000,NTG-CPEI,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
IMSI_number_value,Customer PII - Masked,Customer PII - Masked,Device,Unique identifier of the SIM card,Direct Pull,bigint,515020218394544,CMG,Daily,day-1,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
activation_date,Globe ID,Non-PII,Non-PII,Date when the sim card is activated,Direct Pull,timestamp,40469.62163,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
main_billing_offer_id,Globe ID,Non-PII,Non-PII,The unique identifier of the main billing offer associated with the transaction.,Direct Pull,varchar(1000),12072423,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",product,product_profile
payment_category_code,Globe ID,Non-PII,Non-PII,"Code that refers to the plan type of the subscriber
 Valid values:
 BOTH - Prepaid and Postpaid
 PRE - Prepaid
 POST - Postpaid",Direct Pull,varchar(1000),PRE,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",payment,payment_profile
customer_facing_unit_type_code,Globe ID,Non-PII,Non-PII,"Code that refers to which Customer Facing Unit (business) the customer is tagged.
 Valid Values:
 C - Consumer
 E - Enterprise
 S - Small and Medium Business
 I - In House",Direct Pull / Derived,varchar(1000),C,EDO-UUP,Daily,day-1,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
main_address_id,Globe ID,Non-PII,Non-PII,Subscriber address code,Direct Pull,varchar(1000),A608618972,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
main_contact_id,Globe ID,Non-PII,Non-PII,Subscriber contact code,Direct Pull,varchar(1000),2537254,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
brand_sub_type_code,Globe ID,Non-PII,Non-PII,Subscriber brand based from credit score,Direct Pull,varchar(1000),TM-REGULAR,EDO-UUP,Daily,day-1,"GHP, GHP-PREPAID, TM, PW, GOMO","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
subscriber_status_code,Globe ID,Non-PII,Non-PII,"Subscriber's subscription status.
 Valid Values: 
 A - ACTIVE
 C - CANCELLED 
 D - OD_SUS_FROM_SUSPEND 
 L - OD_CANCEL 
 N - NOT_APPLICATIVE 
 P - PREACTIVE 
 R - RESERVED
 S - SUSPENDED
 T - TERMINATED",Direct Pull,varchar(1000),A,EDO-UUP,Daily,day-1,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
